Date,Time,Sender,Message,Cluster
22/02/24,15.33.28,Stiven TIF '21,jawaban apa,1
22/02/24,15.33.31,Stiven TIF '21,abisni ak kesana,1
22/02/24,15.33.37,Stiven TIF '21,nek mau,1
22/02/24,15.33.58,Rehan ECU,siap,1
22/02/24,15.45.49,Inandra,yo sinii,1
22/02/24,15.56.06,Izam TIF '21,"walah waloh, urung di solo bosss",1
22/02/24,15.56.20,Inandra,walohh,1
28/02/24,11.12.39,Inandra,piye iki kapan? minggu do iso ga,1
28/02/24,11.13.22,Stiven TIF '21,mengko sisan wae pie,1
28/02/24,11.13.32,~ Faiz Arfian Ilhami,ga bisa bang,1
28/02/24,11.13.39,~ Faiz Arfian Ilhami,sabtu,1
28/02/24,11.13.43,Stiven TIF '21,g,1
28/02/24,11.15.28,Dhia TIF '22,‎Pesan ini dihapus.,1
28/02/24,11.33.16,Inandra,seng gabisa bisa saran hari,1
28/02/24,11.33.29,Inandra,iki do iso ga?,1
28/02/24,11.34.25,~ Faiz Arfian Ilhami,iso,1
28/02/24,11.37.15,Inandra,yang lain @62895620490206 @6285854534950 @6282322489424 @6281231715679 @6289675358785 @6285775087151 @6287804044937 @6281233544829 @6282198045056 @6282325384330 @6281218620232 @6285290474524 @6281393686086 @6281336917985 @6289638972960,1
28/02/24,11.37.29,Inandra,njir nek ngetag ngetik e suwi tenan,1
28/02/24,11.37.50,Joselyn TIF'22,InsyaaAllah saget kula,1
28/02/24,11.37.50,Stiven TIF '21,🤣,1
,,,"‎[28/02/24, 11.37.51] Heidar TIF '22: ‎stiker tidak disertakan",1
28/02/24,11.38.19,Sofia TIF ‘22,bisa,1
28/02/24,11.38.22,Dinta TIF '22,Iki kapan?,1
28/02/24,11.40.06,Inandra,todey wkakwkw,1
28/02/24,11.40.12,Inandra,tak tawarkan minggu iki opo mingdep,1
28/02/24,11.40.23,Jumiana TIF '22,G bisa,1
28/02/24,11.40.23,Dinta TIF '22,todey bisa,1
28/02/24,11.40.41,Inandra,"nek hari ini ada opsi rabu, kamis, minggu",1
28/02/24,11.40.47,Inandra,mingep kan senin ada rapat angkatan,1
28/02/24,11.40.51,Inandra,opo sisan kui?,1
28/02/24,11.41.12,Inandra,dirimu rapat tot fosti ntar?,1
28/02/24,11.41.23,Jumiana TIF '22,Hiya,1
28/02/24,11.42.13,Heidar TIF '22,"Aku setuju iki,nik meh nanti aku insyaallah",1
28/02/24,11.43.32,Jumiana TIF '22,Mang rencana mau rapat dimna ndra?,1
28/02/24,11.43.51,Inandra,wir juga si,1
28/02/24,11.44.04,Jumiana TIF '22,Y gpp tak susul,1
28/02/24,11.44.18,Inandra,yowes senin ae gmn teman” semua? tak harap yang blm respon segera respon ya,1
28/02/24,11.45.47,Joselyn TIF'22,Senin rapat angkatan,1
28/02/24,11.46.24,Jumiana TIF '22,Senin pada selesai kuliah jam brp?,1
28/02/24,11.46.33,Inandra,aku jam 3 kelar,1
28/02/24,11.46.36,Jumiana TIF '22,Mungkin bisa dtg lebih awal,1
28/02/24,11.46.48,Inandra,"nah pemikiranku yo gt, sblm rapat angkatan e alias sore nya",1
28/02/24,11.46.57,Joselyn TIF'22,Oooo,1
28/02/24,11.47.33,Jumiana TIF '22,Eh aku selesai jam 6 deng😭😭😭,1
28/02/24,11.48.16,Inandra,‎POLLING:,1
,,,Rapat PJ Perdana,1
,,,"‎OPSI: Rabu, 28 Februari 2024 (7 pilihan)",1
,,,"‎OPSI: Senin, 4 Maret 2024 (10 pilihan)",1
,,,‎OPSI: Saran lain (0 pilihan),1
28/02/24,11.48.16,Jumiana TIF '22,Tapi takpe join kls lain😭,1
28/02/24,11.49.14,Inandra,@62895620490206 @6285854534950 @6282322489424 @6281231715679 @6289675358785 @6285775087151 @6287804044937 @6281233544829 @6282198045056 @6282325384330 @6281218620232 @6285290474524 @6281393686086 @6281336917985 @6285865803536 @6289638972960  tak tunggu responnya terimakasi😁,1
28/02/24,11.54.13,Rechin TIF '22,nek aku mending senin draa biar sekalian,1
28/02/24,11.59.57,Rehan ECU,aku ra ditag,1
28/02/24,12.00.41,ReviTO,aku yo ra ditag,1
28/02/24,12.01.33,ReviTO,lah 28 i dino iki kah,1
28/02/24,12.01.52,Inandra,yes,1
28/02/24,12.02.02,ReviTO,jam pinten niku,1
28/02/24,12.07.18,Inandra,sore/malem nek hari ini,1
28/02/24,12.07.51,Inandra,nek senin sore sblm rapat angkatan,1
28/02/24,12.09.35,ReviTO,oo nggih pun,1
28/02/24,12.09.51,ReviTO,bareng mawon kalihan review progress tot,1
28/02/24,12.21.11,Joselyn TIF'22,Nggih nyumanggaaken,1
28/02/24,13.51.00,Inandra,tak tutup jam 16.00,1
28/02/24,13.55.37,Inandra,eh 15.00 wae,1
28/02/24,17.51.34,Inandra,oke sesuai vote rapat pj hari senin ya,1
28/02/24,17.51.38,Inandra,nek sore do iso ra?,1
28/02/24,17.52.19,ReviTO,bisa,1
28/02/24,17.56.09,Safridha,Bisaa,1
28/02/24,18.03.55,Navila TIF '22,Aku ada kelas pengganti,1
01/03/24,18.56.50,Inandra,nyusul sj,1
01/03/24,19.06.10,Joselyn TIF'22,Kulanuwun,1
01/03/24,19.06.42,Joselyn TIF'22,_🌻Assalamu'alaikum Warahmatullahi Wabarakatuh 🌻_,1
,,,,1
,,,Haloo semuaa👋🏻,1
,,,,1
,,,Diberitahukan kepada *SELURUH PJ KEPANITIAAN PARTI*  bahwa akan diadakan *RAPAT PJ PERDANA* pada:,1
,,,,1
,,,🗓 Hari                	: *Senin*,1
,,,🗒 Tanggal         	: *4 Maret 2024*,1
,,,🕘 Jam               	: *15.30 WIB*,1
,,,👔 Dresscode     : *Bebas & Sopan*,1
,,,🏠 Tempat         	:  *Sambal Mbah Wir*,1
,,,📍 Agenda          :,1
,,,• Silaturahmi,1
,,,• Pembahasan awal PARTI 2024,1
,,,,1
,,,📌 Note :,1
,,,*• Diharapkan datang semua dan tepat waktu🙏🏻*,1
,,,,1
,,,Terimakasih❤‍🔥,1
,,,,1
,,,_🌻Wassalamu’alaikum Warahmatullahi Wabarakatuh 🌻_,1
01/03/24,19.07.54,Inandra,ditunggu kehadirannya teman”🔥,1
01/03/24,19.07.51,Heidar TIF '22,Waduh aku enek kelas ki,1
01/03/24,19.08.15,Inandra,bph juga wajib hadir,1
01/03/24,19.08.21,Inandra,nyusul,1
01/03/24,19.08.23,Inandra,jam piro,1
01/03/24,19.09.22,Heidar TIF '22,Jam ke-10 tekan 12,1
01/03/24,19.10.31,~ Faiz Arfian Ilhami,walah bolos,1
01/03/24,19.11.02,Inandra,bolos sih bener,1
01/03/24,19.11.06,Inandra,matkul opo,1
01/03/24,19.19.47,Jumiana TIF '22,"Sama ndraa😃, sismed",1
01/03/24,19.21.08,Inandra,siapa aja nih mulmed?,1
01/03/24,19.21.15,Inandra,ikut kelas gue sj,1
01/03/24,19.21.26,Jumiana TIF '22,Jam ke brp?,1
01/03/24,19.21.35,Inandra,7-9,1
01/03/24,19.21.37,Jumiana TIF '22,7-9 gw kelas asd😃,1
01/03/24,19.22.33,Inandra,wadadidaw,1
01/03/24,19.22.47,Inandra,yaa intine nek kls mulmed selesai langsung nyusul sj ya,1
01/03/24,19.22.57,Inandra,soale nek meh mundur kelamaan coy,1
01/03/24,19.24.14,Jumiana TIF '22,Betul,1
01/03/24,19.24.48,Heidar TIF '22,Bedo dosen we bu khanun to?,1
,,,"‎[01/03/24, 19.25.08] Heidar TIF '22: ‎stiker tidak disertakan",1
01/03/24,19.25.25,Inandra,aku ihsan kun,1
01/03/24,19.25.26,Heidar TIF '22,Acc,1
01/03/24,19.30.39,Rehan ECU,walah waloh,1
01/03/24,19.34.21,Joselyn TIF'22,Ya sama😁,1
01/03/24,19.35.03,Jumiana TIF '22,Nah makane tdk bisa ganti kelas sismed karna ada kelas ini😃,1
01/03/24,19.35.13,Jumiana TIF '22,Apa tak ganti Rabu ya,1
,,,"‎[01/03/24, 19.35.22] Inandra: ‎stiker tidak disertakan",1
01/03/24,19.35.32,Jumiana TIF '22,Tapi ga bisa deng nabrak BI😭,1
01/03/24,19.36.36,Inandra,biasane bu khanun sampe selesai ngga,1
01/03/24,19.36.44,Inandra,mksd e sampe maksimal waktu,1
01/03/24,19.36.59,Stiven TIF '21,ngga klo awal awal,1
03/03/24,18.43.12,Joselyn TIF'22,*🚨 REMINDER H-1 🚨*,1
,,,,1
,,,_🌻Assalamu'alaikum Warahmatullahi Wabarakatuh 🌻_,1
,,,,1
,,,Haloo semuaa👋🏻,1
,,,,1
,,,Diberitahukan kepada *SELURUH PJ KEPANITIAAN PARTI*  bahwa akan diadakan *RAPAT PJ PERDANA* pada:,1
,,,,1
,,,🗓 Hari                	: *Senin*,1
,,,🗒 Tanggal         	: *4 Maret 2024*,1
,,,🕘 Jam               	: *15.30 WIB*,1
,,,👔 Dresscode     : *Bebas & Sopan*,1
,,,🏠 Tempat         	:  *Sambal Mbah Wir*,1
,,,📍 Agenda          :,1
,,,• Silaturahmi,1
,,,• Pembahasan awal PARTI 2024,1
,,,,1
,,,📌 Note :,1
,,,*• Diharapkan datang semua dan tepat waktu🙏🏻*,1
,,,,1
,,,Terimakasih❤‍🔥,1
,,,,1
,,,_🌻Wassalamu’alaikum Warahmatullahi Wabarakatuh 🌻_,1
03/03/24,18.43.27,Inandra,janlup ya teman” sekalian,1
03/03/24,18.45.40,Stiven TIF '21,nggih,1
03/03/24,18.45.41,ReviTO,walah kelas,1
03/03/24,18.51.14,Joselyn TIF'22,Jamber kak,1
03/03/24,18.56.20,ReviTO,blm tau,1
03/03/24,18.56.36,ReviTO,diusahakan,1
03/03/24,19.02.46,Joselyn TIF'22,Nggih kak,1
,,,"‎[03/03/24, 19.02.50] Rehan ECU: ‎stiker tidak disertakan",1
03/03/24,19.12.19,Izam TIF '21,bar kelas gas samkuhh,1
03/03/24,19.18.13,Inandra,intinya nek ono kelas jam itu nyusul secepatnya saja,1
04/03/24,15.07.04,Stiven TIF '21,he ayo on time ya soale bar maghrib ada acara,1
04/03/24,15.07.22,Inandra,yo ayo,1
04/03/24,15.07.28,Stiven TIF '21,sek aku jik kukutan ndra,1
04/03/24,15.07.42,Afif TIF' 22,ayok,1
04/03/24,15.08.16,Inandra,sek seh udan,1
,,,"‎[04/03/24, 15.10.45] Labib: ‎catatan video tidak disertakan",1
04/03/24,15.15.08,Sofia TIF ‘22,aku kelas,1
04/03/24,15.23.09,Inandra,penting enek perwakilan tiap sie,1
04/03/24,15.23.15,Inandra,sementara,1
04/03/24,15.23.21,Inandra,sek rehan gek ngising,1
04/03/24,15.24.16,Sofia TIF ‘22,ms izam @6287804044937,1
04/03/24,15.29.00,Izam TIF '21,siap siup no,1
04/03/24,15.29.06,Izam TIF '21,otw runu bar iki,1
04/03/24,15.42.52,Inandra,info info,1
04/03/24,15.44.11,Stiven TIF '21,otw,1
04/03/24,16.03.16,Heidar TIF '22,Nyusul sih matkul ki,1
04/03/24,16.09.26,Inandra,spill sg seh matkul,1
04/03/24,16.09.52,Navila TIF '22,Aku,1
,,,"‎[04/03/24, 16.09.56] Salwa TIF '22: ‎gambar tidak disertakan",1
,,,"‎[04/03/24, 16.10.05] Sofia TIF ‘22: ‎gambar tidak disertakan",1
,,,"‎[04/03/24, 16.10.18] Heidar TIF '22: ‎gambar tidak disertakan",1
04/03/24,16.10.44,Jumiana TIF '22,Bolos saja😁,1
04/03/24,16.10.57,Inandra,@6285854534950 @6282322489424 @6282175165826 @6289675358785 @6285775087151 @6281218620232 @6289638972960,1
04/03/24,16.12.17,Rechin TIF '22,nyusul dra masih praktikum,1
04/03/24,16.16.53,Inandra,oke,1
04/03/24,16.23.41,Faiq TIF '22,Otwi,1
04/03/24,17.57.28,ReviTO,‎ReviTO mengubah ikon grup ini,1
04/03/24,17.56.35,Joselyn TIF'22,https://docs.google.com/document/d/1Zxh9M20ne3VWlRenCqJee0s7OaVCmKMSxokyyuwk5f0/edit?usp=sharing,1
05/03/24,07.33.49,ReviTO,‎Kode keamanan Anda dengan ReviTO telah berubah.,1
05/03/24,08.10.54,Inandra,Jobdesk terdekat :,1
,,,1. PJ melakukan plot mandiri terhadap anggota himatif 22,1
,,,2. ⁠PJ memberikan saran untuk rapat PJ selanjutnya,1
05/03/24,08.11.01,‎Anda,‎Anda menyematkan pesan,1
05/03/24,18.00.56,Dhia TIF '22,‎Anda mengeluarkan Dhia TIF '22,1
05/03/24,18.01.25,Inandra,Oke sudah tak putuskan PJ Sie Acara ne Safridha dan Revito ya,1
,,,"‎[05/03/24, 18.01.52] Rehan ECU: ‎stiker tidak disertakan",1
05/03/24,18.03.12,Izam TIF '21,kelangan garda sidane iki @628993998600,1
05/03/24,18.03.30,Sofia TIF ‘22,layo jare meh sponsor repito,1
05/03/24,18.03.38,ReviTO,la pie meneh,1
05/03/24,18.03.42,ReviTO,keadaan tidak mendukung,1
05/03/24,18.03.47,ReviTO,ngko aku koor sponsor wae,1
05/03/24,18.03.47,Izam TIF '21,sponsor sponsur,1
,,,"‎[05/03/24, 18.04.04] Inandra: ‎stiker tidak disertakan",1
,,,"‎[05/03/24, 18.04.33] Izam TIF '21: ‎stiker tidak disertakan",1
05/03/24,19.21.14,Sofia TIF ‘22,jir aku blm pamitan ternyata uda di kick inandra,1
05/03/24,19.21.15,Sofia TIF ‘22,halo gaiss met malammm,1
05/03/24,19.21.15,Sofia TIF ‘22,"sebelum nya aku minta maaf banget buat temen-temen pj disini, maaf kalau dari awal sampe skrng blm bisa acc jdi pj, aku ngerasa ga yakin buat jdi pj acara parti karna banyak hal",1
05/03/24,19.21.15,Sofia TIF ‘22,"semangat teruss buat kalian yg keren keren bgtttt, semoga acara parti taun ini jauh lebih sukses dari sebelum""nya, jan lupa jaga kesehatan dan kuliahnya🤍",1
05/03/24,19.21.18,Sofia TIF ‘22,pesan dr dhia,1
05/03/24,19.21.25,Sofia TIF ‘22,untuk di forward,1
05/03/24,19.21.42,Inandra,"yaa terimakasih, soale aku ra kuat nek meh ngei kata kata perpisahan",1
05/03/24,19.21.42,Sofia TIF ‘22,jahat,1
05/03/24,19.21.45,Inandra,mewek dewe,1
05/03/24,19.22.00,Inandra,masalahe durung mulai lho mosok ws sedih”,1
05/03/24,19.22.06,Stiven TIF '21,😔😔😔,1
05/03/24,19.22.09,Rehan ECU,peh,1
05/03/24,19.22.13,Sofia TIF ‘22,😔😔😔😔,1
05/03/24,19.22.13,Izam TIF '21,siap mas ketupat parti🤩🙏🏻,1
,,,"‎[05/03/24, 19.22.25] Jumiana TIF '22: ‎stiker tidak disertakan",1
,,,"‎[05/03/24, 19.22.40] Salwa TIF '22: ‎stiker tidak disertakan",1
05/03/24,19.22.43,Afif TIF' 22,keren mas ketupat parti,1
05/03/24,19.22.52,Inandra,info jedag jedug,1
05/03/24,19.23.45,Izam TIF '21,siap menuju kesemangatan demi lancarnya parti 2024✊🏻,1
05/03/24,19.24.26,Inandra,josjisjus,1
05/03/24,19.24.55,Inandra,"intine semangat buat semua wae, minta bantuane buat menggerakkan parti tahun ini",1
05/03/24,19.25.11,Izam TIF '21,siap siup,1
05/03/24,19.25.59,Inandra,"manusia dikatakan makhluk sosial karena tidak bisa hidup sendiri tanpa bantuan orang lain, oleh karena itu aku butuh bantuan kalian semua karena memang sadar nek aku dewe ngelakoni iki gabisa",1
05/03/24,19.26.10,Heidar TIF '22,Siap capten,1
05/03/24,19.27.34,ReviTO,aku izin pamit,1
05/03/24,19.28.01,Inandra,ati”,1
05/03/24,19.28.04,Inandra,ums seh udan,1
05/03/24,19.28.11,ReviTO,baiklah,1
05/03/24,19.28.17,ReviTO,mau ke wir siapa mau join,1
05/03/24,19.28.37,Sofia TIF ‘22,sm mas robi??,1
05/03/24,19.28.59,ReviTO,btull kok tay,1
05/03/24,19.29.00,ReviTO,u,1
05/03/24,19.29.06,Sofia TIF ‘22,gue meh nyileh buku,1
05/03/24,19.29.21,Sofia TIF ‘22,sido gone mbah wir?,1
05/03/24,19.29.21,ReviTO,hoo wes ditulis neng papan tulis e,1
05/03/24,19.29.29,Sofia TIF ‘22,😭😭😭😭😭,1
05/03/24,19.30.03,ReviTO,ngenteni wonge tekan,1
05/03/24,19.30.34,Sofia TIF ‘22,okeee,1
05/03/24,19.41.15,Stiven TIF '21,masyaallah,1
05/03/24,20.01.20,ReviTO,sistem plot mandiri ki pie le🤡,1
05/03/24,20.01.42,Inandra,yo anda memilih anggota sie acara sek dlu sblm di bahas ng rapat pj,1
05/03/24,20.01.46,Inandra,koyok pas plot bidang,1
05/03/24,20.01.57,ReviTO,nek tabrakan,1
05/03/24,20.02.01,Stiven TIF '21,debat,1
05/03/24,20.02.06,Rehan ECU,di bahas nng pj,1
05/03/24,20.02.06,Stiven TIF '21,😞☝🏻,1
05/03/24,20.02.07,ReviTO,konsole,1
05/03/24,20.02.18,Sofia TIF ‘22,la sg raiso debat yo kalah😔,1
05/03/24,20.02.19,Rehan ECU,persis koyo screening bidang,1
05/03/24,20.02.28,Stiven TIF '21,debut,1
05/03/24,20.02.33,ReviTO,debit,1
05/03/24,20.02.45,Rehan ECU,izam izum serba iso,1
05/03/24,20.02.51,ReviTO,walah ngko malah ra roto,1
05/03/24,20.02.59,Stiven TIF '21,izam rispek🫡,1
05/03/24,20.03.00,ReviTO,aku milih kurniawan ojo dipilih,1
05/03/24,20.03.29,Stiven TIF '21,iki ngecup to,1
05/03/24,20.03.29,Rehan ECU,la iki contone bibit debat,1
05/03/24,20.03.59,ReviTO,aku milih faiq,1
05/03/24,20.04.05,Sofia TIF ‘22,raiso,1
05/03/24,20.04.07,Stiven TIF '21,mksutmu,1
05/03/24,20.04.16,Stiven TIF '21,aneh nek jare cipung,1
,,,"‎[05/03/24, 20.04.35] ReviTO: ‎gambar tidak disertakan",1
05/03/24,20.04.58,Stiven TIF '21,hasuu🤣🤣,1
05/03/24,20.05.14,Rehan ECU,josjis 😭,1
07/03/24,19.25.40,Inandra,cah nek rapat e mingdep do nyanggupi ra,1
07/03/24,19.25.58,ReviTO,yaa,1
07/03/24,19.27.15,Izam TIF '21,gas gis gus wud wud,1
07/03/24,19.27.29,Izam TIF '21,semakin cepat semakin baik🫵🏻😎,1
07/03/24,19.27.47,ReviTO,semangatmen bos,1
07/03/24,19.28.29,Izam TIF '21,soal e ketuane sangar,1
07/03/24,19.28.53,Inandra,nek aku saran malah sesok minggu kui,1
07/03/24,19.28.56,Inandra,sak durunge poso,1
07/03/24,19.29.12,Izam TIF '21,minggu ready,1
07/03/24,19.31.23,Inandra,@62895620490206 @6285854534950 @6281231715679 @6282175165826 @6281327209494 @6289675358785 @6282139075188 @6285775087151 @6281233544829 @6282198045056 @6282325384330 @6281225316790 @6281218620232 @6289516556760 @628993998600 @6285290474524 @6281393686086 @6281336917985 @6285865803536 @6289638972960,1
07/03/24,19.31.33,Dinta TIF '22,"Ojo minggu, meh balik",1
07/03/24,19.31.36,Salwa TIF '22,minggu gabisa,1
07/03/24,19.32.15,~ Faiz Arfian Ilhami,"sabtu awan ae boss,sedurung mangkat diesnat",1
07/03/24,19.32.51,Inandra,dioyak oyak diesnat ndaan,1
07/03/24,19.33.18,Izam TIF '21,bener benur,1
07/03/24,19.33.47,Inandra,‎POLLING:,1
,,,Rapat PJ (Plot Anggota + Bahas lanjutan + bahas danusan),1
,,,"‎OPSI: Minggu, 10 Maret 2024 (1 pilihan)",1
,,,"‎OPSI: Senin, 11 Maret 2024 (5 pilihan)",1
,,,"‎OPSI: Selasa, 12 Maret 2024 (3 pilihan)",1
,,,‎OPSI: Saran lain bisa disampaikan (5 pilihan),1
07/03/24,19.33.55,Inandra,monggo diisi rencang”,1
07/03/24,19.35.56,ReviTO,sesok wae malah free,1
07/03/24,19.35.59,ReviTO,😁,1
07/03/24,19.36.16,Inandra,koe tok sg free,1
07/03/24,19.37.13,ReviTO,walah waluh,1
07/03/24,19.51.38,Inandra,"iki seng saran lain, selain iki enek?",1
07/03/24,19.51.52,Dinta TIF '22,Rabu depan hehe,1
07/03/24,19.52.08,Nirot TIF '22,Wehh,1
07/03/24,19.53.07,Sofia TIF ‘22,2,1
07/03/24,19.53.22,Inandra,jenderal e ngopo mulih,1
07/03/24,19.53.33,Sofia TIF ‘22,13 wae,1
07/03/24,19.53.43,Sofia TIF ‘22,pgn libur bos,1
07/03/24,19.53.44,Nirot TIF '22,Diterke mayor Faiq Ra ?,1
07/03/24,19.54.13,~ Faiz Arfian Ilhami,minggu isuk sore gek balek,1
07/03/24,19.54.16,ReviTO,aku selama puasa raiso,1
07/03/24,19.54.20,Sofia TIF ‘22,"makasih ya nirot udah notice faiq, @6282175165826 p",1
07/03/24,19.54.29,Sofia TIF ‘22,emoh udan,1
07/03/24,20.05.35,Rehan ECU,besok,1
07/03/24,20.05.59,~ Faiz Arfian Ilhami,sesok sore,1
07/03/24,20.06.27,Rehan ECU,bar kapita selekta,1
07/03/24,20.06.47,Rehan ECU,wah semaput banyak sekali agendane,1
,,,"‎[07/03/24, 20.06.57] Izam TIF '21: ‎stiker tidak disertakan",1
,,,"‎[07/03/24, 20.07.15] ~ Faiz Arfian Ilhami: ‎stiker tidak disertakan",1
,,,"‎[07/03/24, 20.08.33] Rehan ECU: ‎stiker tidak disertakan",1
07/03/24,20.08.58,Izam TIF '21,@6282328792661 monitor,1
07/03/24,20.09.13,~ Faiz Arfian Ilhami,salfok raine dinta,1
,,,"‎[07/03/24, 20.09.25] ~ Faiz Arfian Ilhami: ‎stiker tidak disertakan",1
07/03/24,20.09.34,ReviTO,bejirr,1
07/03/24,20.09.38,Inandra,do iso ra?,1
07/03/24,20.09.40,Dinta TIF '22,"ho o ojo di diggo kui stiker e heidar, aku melu kenek",1
,,,"‎[07/03/24, 20.09.43] Jumiana TIF '22: ‎stiker tidak disertakan",1
07/03/24,20.09.57,Inandra,bar kapita jam piro berarti,1
07/03/24,20.10.00,Dinta TIF '22,Set7 an iso sesok,1
07/03/24,20.10.03,Dinta TIF '22,Opo jam 7,1
07/03/24,20.10.03,Rehan ECU,bos nandrong waketum hima masih capek lagi recharge energi,1
07/03/24,20.10.10,Inandra,ojo bengi,1
07/03/24,20.10.22,~ Faiz Arfian Ilhami,sore sampe isya,1
,,,"‎[07/03/24, 20.10.26] ~ Faiz Arfian Ilhami: ‎stiker tidak disertakan",1
07/03/24,20.10.28,Izam TIF '21,opo kesel banget wong e,1
,,,"‎[07/03/24, 20.10.42] ~ Faiz Arfian Ilhami: ‎stiker tidak disertakan",1
07/03/24,20.10.51,Izam TIF '21,jaluk sticker e nandra sing akeh iz,1
07/03/24,20.10.53,Rehan ECU,perlu tok pijeti ketoe,1
07/03/24,20.11.10,Izam TIF '21,@6282328792661 monitor,1
07/03/24,20.11.17,Inandra,opoo😭,1
07/03/24,20.11.35,Izam TIF '21,gur ngecek tok,1
07/03/24,20.11.41,ReviTO,"ora, lagi kelong 3% tenaga ne",1
07/03/24,20.11.43,Izam TIF '21,ngecek waketum,1
07/03/24,20.11.47,ReviTO,tapi yo butuh ngecas to bos,1
07/03/24,20.11.53,Izam TIF '21,bener,1
07/03/24,20.12.15,Izam TIF '21,ayo dikelongi wae bateraine,1
07/03/24,20.13.09,ReviTO,yo rene tenguk”,1
08/03/24,11.55.21,Inandra,"oke rapat pj selasa ya, tolong dipersiapkan ‎<Pesan ini diedit>",1
08/03/24,11.57.26,~ Faiz Arfian Ilhami,senin i wes poso urung?,1
08/03/24,11.58.05,Heidar TIF '22,Muhammadiyah uwis,1
08/03/24,11.59.14,~ Faiz Arfian Ilhami,walah🙂‍↕️,1
08/03/24,12.00.55,Sofia TIF ‘22,aku gaiso,1
08/03/24,12.01.12,Sofia TIF ‘22,@6287804044937 dateng ya mas,1
08/03/24,12.04.18,Inandra,rasah wedi poso cah,1
08/03/24,12.04.54,Inandra,sopi seloso iso?,1
08/03/24,12.05.00,~ Faiz Arfian Ilhami,sore kah bos?,1
08/03/24,12.05.23,Inandra,meh bukber ki konsep e?,1
08/03/24,12.05.28,Nirot TIF '22,Gass,1
08/03/24,12.05.50,~ Faiz Arfian Ilhami,ssan bos bn ga kesel,1
08/03/24,12.05.52,ReviTO,wedi,1
08/03/24,12.05.54,~ Faiz Arfian Ilhami,bar ashar,1
08/03/24,12.06.56,Inandra,tak ralat seloso wae cah😁 ‎<Pesan ini diedit>,1
08/03/24,12.07.49,Dinta TIF '22,Sip,1
08/03/24,12.13.46,Inandra,"bar ashar ya, sisan buko",1
08/03/24,12.14.37,~ Faiz Arfian Ilhami,mbah wir neh?,1
08/03/24,12.14.48,Inandra,info tempat untuk bukber,1
08/03/24,12.22.41,Izam TIF '21,siap no,1
08/03/24,12.22.53,Stiven TIF '21,kos ng ndi zam,1
08/03/24,12.23.04,Izam TIF '21,ning praci boss,1
08/03/24,12.23.07,Stiven TIF '21,ooo,1
08/03/24,12.24.23,Izam TIF '21,sesok nyolo abangkuh,1
